Company,Film,Release,Adjusted,Worldwide,Domestic,Foreign
Marvel,Avengers,2012,1575.847963,1518.59491,623.35791,895.237
Marvel,Iron Man 3,2013,1243.055923,1215.439994,409.013994,806.426
DC,The Dark Knight Rises,2012,1125.323899,1084.439099,448.139099,636.3
DC,The Dark Knight,2008,1111.624312,1004.558444,534.858444,469.7
DC,Superman,1978,1097.039,300.218018,134.218018,166
Marvel,Spider-Man,2002,1088.227139,821.708551,403.706375,418.002176
Marvel,Spider-Man 3,2007,1023.671832,890.871626,336.530303,554.341323
Marvel,Spider-Man 2,2004,988.524779,783.766341,373.585825,410.180516
DC,Batman,1989,790.35388,411.348924,251.188924,160.16
Marvel,The Amazing Spider-Man,2012,786.50566,757.930663,262.030663,495.9
Marvel,X-Men: Days of Future Past,2014,744.047433,744.047433,232.485,511.562433
Marvel,Captain America: The Winter Soldier,2014,714.0259,714.0259,259.7089,454.317
Marvel,The Amazing Spider-Man 2,2014,708.219235,708.219235,202.778224,505.441011
DC,Man of Steel,2013,683.224134,668.045518,291.045518,377
Marvel,Iron Man 2,2010,681.718448,623.933331,312.433331,311.5
Marvel,Thor: The Dark World,2013,659.433213,644.78314,206.36214,438.421
Marvel,Iron Man,2008,647.542108,585.174222,318.412101,266.762121
Marvel,X-Men: The Last Stand,2006,542.869117,459.359555,234.362462,224.997093
Marvel,X2: X-Men United,2003,527.919981,407.711549,214.949694,192.761855
DC,Batman Forever,1995,526.102812,336.529144,184.031112,152.498032
Marvel,Thor,2011,475.915989,449.326618,181.030624,268.295994
DC,Superman Returns,2006,462.178046,391.081192,200.081192,191
DC,Batman Begins,2005,456.516123,374.218673,206.852432,167.366241
DC,Batman Returns,1992,453.103534,266.822354,162.831698,103.990656
Marvel,Guardians of the Galaxy,2014,418.681,418.681,222.281,196.4
Marvel,X-Men,2000,410.005182,296.339527,157.299717,139.03981
Marvel,Fantastic Four,2005,403.280174,330.579719,154.69608,175.883639
Marvel,Captain America: The First Avenger,2011,392.498627,370.569774,176.654505,193.915269
Marvel,X-Men: First Class,2011,374.5502,353.624124,146.408305,207.215819
DC,Batman & Robin,1997,353.600292,238.207122,107.325195,130.881927
Marvel,Fantastic Four: Rise of the Silver Surfer,2007,332.135455,289.047763,131.921738,157.126025
Marvel,Hulk,2003,317.701817,245.36048,132.177234,113.183246
DC,Superman II,1980,312.806365,108.185706,108.185706,
Marvel,The Incredible Hulk,2008,291.503667,263.427551,134.806913,128.620638
DC,Constantine,2005,281.660453,230.884728,75.976178,154.90855
Marvel,Ghost Rider,2007,262.835905,228.738393,115.802596,112.935797
DC,Green Lantern,2011,232.861094,219.851172,116.601172,103.25
DC,League of Extraordinary Gentlemen,2003,232.119211,179.265204,66.465204,112.8
Marvel,Daredevil,2003,232.008521,179.179718,102.543518,76.6362
DC,Watchmen,2009,205.735853,185.258983,107.509799,77.749184
Marvel,Blade II,2002,205.287049,155.010032,82.348319,72.661713
Marvel,Blade,1998,191.745252,131.18353,70.087718,61.095812
Marvel,Blade: Trinity,2004,162.581808,128.905366,52.411906,76.49346
DC,V for Vendetta,2005,161.652607,132.511035,70.511035,62
DC,Superman III,1983,143.405983,59.950623,59.950623,
Marvel,Ghost Rider: Spirit of Vengeance,2012,137.561767,132.56393,51.774002,80.789928
Marvel,Kick-Ass,2010,105.097366,96.188903,48.071303,48.1176
DC,Catwoman,2004,103.551571,82.102379,40.202379,41.9
Marvel,Howard the Duck,1986,82.524005,37.962774,16.295774,21.667
Marvel,Elektra,2005,69.146867,56.681566,24.409722,32.271844
Marvel,The Punisher,2004,68.990471,54.700105,33.810189,20.889916
Marvel,Kick-Ass 2,2013,62.177326,60.795985,28.795985,32
DC,The Spirit,2008,43.191298,39.031337,19.806188,19.225149
DC,Superman IV: The Quest for Peace,1987,32.88735,15.68102,15.68102,
DC,Supergirl,1984,32.782737,14.296438,14.296438,
DC,The Losers,2010,32.100704,29.379723,23.591432,5.788291
DC,Batman: The Movie,1966,22.060185,3,3,
DC,Jonah Hex,2010,11.913114,10.903312,10.547117,0.356195
Marvel,Punisher: War Zone,2008,11.176498,10.100036,8.050977,2.049059
DC,Steel,1997,2.539807,1.710972,1.710972,
Marvel,The Punisher,1989,1.02488,0.533411,33.810189,0.533411
DC,The Return of Swamp Thing,1989,0.370471,0.192816,0.192816,
Marvel,Avengers: Age of Ultron,2015,,1405.403694,459.005868,946.397826
Marvel,Ant-Man,2015,,519.311965,180.202163,339.109802
Marvel,Captain America: Civil War,2016,,1153.304495,408.084349,745.220146
Marvel,Doctor Strange,2016,,677.718395,232.64192,445.076475
DC,Batman v Superman: Dawn of Justice,2016,,873.260194,330.360194,542.9
DC,Suicide Squad,2016,,745.600054,325.100054,20.5
